observations,genes,batch size,abs batch size,memory,geometry,dimension_1,dimension_2
75000,5000,0.001,75,2897.496593,best,5000,1
75000,5000,0.002,150,2897.496593,best,5000,1
75000,5000,0.006666667,500,3021.5005,best,5000,1
75000,5000,0.01,750,2981.935932,best,5000,1
75000,5000,0.01333333,1000,2958.044841,best,5000,1
75000,5000,0.02,1500,2961.481815,best,5000,1
75000,5000,0.04,3000,2910.848705,best,5000,1
75000,5000,0.06666667,5000,2938.131809,best,5000,1
75000,5000,0.1,7500,2899.581996,best,5000,1
75000,5000,0.13333333,10000,3070.196034,best,5000,1
500000,5000,0.00015,75,17265.31381,best,5000,1
500000,5000,3.00E-04,150,17265.31381,best,5000,1
500000,5000,6.00E-04,300,17265.31381,best,5000,1
500000,5000,0.001,500,17265.31381,best,5000,1
500000,5000,0.002,1000,17265.31381,best,5000,1
500000,5000,0.003,1500,17265.31381,best,5000,1
500000,5000,0.006,3000,17265.31381,best,5000,1
500000,5000,0.01,5000,17265.31381,best,5000,1
500000,5000,0.015,7500,17265.31381,best,5000,1
500000,5000,0.02,10000,17265.31381,best,5000,1
