"observations","genes","abs.batch.size","time1","time2","time3","geometry","dimension_1","dimension_2","choice","label"
75000,5000,500,93.212,NA,NA,best,5000,1,full,best_hdf5
75000,5000,500,84.13,NA,NA,worst,1,75000,full,worst_hdf5
75000,5000,500,95.714,NA,NA,default,258,3872,full,default_hdf5
150000,5000,500,84.833,NA,NA,best,5000,1,full,best_hdf5
150000,5000,500,182.257,NA,NA,worst,1,150000,full,worst_hdf5
150000,5000,500,139.888,NA,NA,default,182,5477,full,default_hdf5
300000,5000,500,180.304,NA,NA,best,5000,1,full,best_hdf5
300000,5000,500,294.952,NA,NA,worst,1,300000,full,worst_hdf5
300000,5000,500,325.894,NA,NA,default,129,7745,full,default_hdf5
500000,5000,500,296.574,NA,NA,best,5000,1,full,best_hdf5
500000,5000,500,565.979,NA,NA,worst,1,500000,full,worst_hdf5
500000,5000,500,526.241,NA,NA,default,100,10000,full,default_hdf5
750000,5000,500,545.415,NA,NA,best,5000,1,full,best_hdf5
750000,5000,500,992.532,NA,NA,worst,1,750000,full,worst_hdf5
750000,5000,500,1038.729,NA,NA,default,81,12247,full,default_hdf5
1000000,5000,500,647.16,NA,NA,best,5000,1,full,best_hdf5
1000000,5000,500,1420.087,NA,NA,worst,1,1000000,full,worst_hdf5
1000000,5000,500,1111.118,NA,NA,default,70,14142,full,default_hdf5
75000,5000,500,87.501,NA,NA,best,5000,1,full,best_hdf5
75000,5000,500,93.088,NA,NA,worst,1,75000,full,worst_hdf5
75000,5000,500,99.21,NA,NA,default,258,3872,full,default_hdf5
150000,5000,500,85.605,NA,NA,best,5000,1,full,best_hdf5
150000,5000,500,170.662,NA,NA,worst,1,150000,full,worst_hdf5
150000,5000,500,200.358,NA,NA,default,182,5477,full,default_hdf5
300000,5000,500,174.476,NA,NA,best,5000,1,full,best_hdf5
300000,5000,500,296.876,NA,NA,worst,1,300000,full,worst_hdf5
300000,5000,500,410.496,NA,NA,default,129,7745,full,default_hdf5
500000,5000,500,295.67,NA,NA,best,5000,1,full,best_hdf5
