observations,genes,batch size,abs batch size,time1,time2,time3,geometry,dimension_1,dimension_2
75000,5000,0.001,75,1.538,93.396,360.88,default,258,3872
75000,5000,0.002,150,1.427,107.049,353.849,default,258,3872
75000,5000,0.006666667,500,1.033,154.84,352.806,default,258,3872
75000,5000,0.01,750,1.42,239.256,381,default,258,3872
75000,5000,0.01333333,1000,1.157,111.156,400.268,default,258,3872
500000,5000,0.00015,75,9.217,644.304,2074.233,default,100,10000
75000,5000,0.02,1500,1.057,126.148,541.94,default,258,3872
75000,5000,0.04,3000,1.24,215.488,382.129,default,258,3872
75000,5000,0.06666667,5000,1.217,302.635,291.649,default,258,3872
75000,5000,0.1,7500,1.066,269.267,300.229,default,258,3872
75000,5000,0.13333333,10000,1.103,456.693,326.288,default,258,3872
500000,5000,3.00E-04,150,8.515,810.071,3252.624,default,100,10000
500000,5000,6.00E-04,300,8.457,778.826,3059.092,default,100,10000
500000,5000,0.001,500,7.244,886.224,3189.266,default,100,10000
500000,5000,0.002,1000,5.62,675.959,3154.672,default,100,10000
500000,5000,0.003,1500,5.951,1078.699,2964.922,default,100,10000
500000,5000,0.006,3000,6.322,1520.403,3628.503,default,100,10000
500000,5000,0.01,5000,6.256,1656.844,3187.495,default,100,10000
500000,5000,0.015,7500,9.385,1456.271,2946.745,default,100,1000075000,5000,0.001,75,328.6,NA,NA,default,258,3872,full
75000,5000,0.001,75,1.361,117.487,224.622,default,258,3872,two steps
75000,5000,0.002,150,285.714,NA,NA,default,258,3872,full
75000,5000,0.002,150,1.538,160.01,183.788,default,258,3872,two steps
500000,5000,0.00015,75,1371.454,NA,NA,default,100,10000,full
75000,5000,0.006666667,500,368.597,NA,NA,default,258,3872,full
75000,5000,0.006666667,500,1.314,112.363,177.539,default,258,3872,two steps
75000,5000,0.01,750,393.903,NA,NA,default,258,3872,full
75000,5000,0.01,750,1.255,208.009,180.355,default,258,3872,two steps
75000,5000,0.01333333,999,313.785,NA,NA,default,258,3872,full
500000,5000,0.00015,75,6.412,857.43,939.756,default,100,10000,two steps
75000,5000,0.01333333,999,1.718,94.985,191.491,default,258,3872,two steps
75000,5000,0.02,1500,307.204,NA,NA,default,258,3872,full
75000,5000,0.02,1500,1.781,134.12,184.088,default,258,3872,two steps
75000,5000,0.04,3000,354.082,NA,NA,default,258,3872,full
500000,5000,3e-04,150,1357.646,NA,NA,default,100,10000,full
75000,5000,0.04,3000,1.848,198.33,126.812,default,258,3872,two steps
75000,5000,0.06666667,5000,342.135,NA,NA,default,258,3872,full
75000,5000,0.06666667,5000,1.533,503.957,116.378,default,258,3872,two steps
75000,5000,0.1,7500,477.419,NA,NA,default,258,3872,full
500000,5000,3e-04,150,6.296,928.334,911.311,default,100,10000,two steps
75000,5000,0.1,7500,1.288,327.47,108.469,default,258,3872,two steps
75000,5000,0.13333333,9999,516.541,NA,NA,default,258,3872,full
75000,5000,0.13333333,9999,7.302,2488.607,98.6529999999998,default,258,3872,two steps
500000,5000,6e-04,300,3659.505,NA,NA,default,100,10000,full
500000,5000,6e-04,300,5.629,478.282,791.474,default,100,10000,two steps
500000,5000,0.001,500,2089.497,NA,NA,default,100,10000,full
500000,5000,0.001,500,17.381,1091.45,1905.872,default,100,10000,two steps
500000,5000,0.002,1000,1753.536,NA,NA,default,100,10000,full
500000,5000,0.002,1000,5.47,539.225,951.373,default,100,10000,two steps
500000,5000,0.003,1500,2425.147,NA,NA,default,100,10000,full
