B,observations,genes,batch_size,k,initializer,method,memory
1,1000,1000,0.005,3,random,hdf5,659.4726563
1,1000,1000,0.01,3,random,hdf5,675.5429688
1,1000,1000,0.05,3,random,hdf5,613.8398438
1,1000,1000,0.1,3,random,hdf5,552.6914063
1,1000,1000,0.2,3,random,hdf5,506.359375
1,1000,1000,0.5,3,random,hdf5,519.1132813
1,1000,1000,0.8,3,random,hdf5,569.3632813
1,1000,1000,1,3,random,hdf5,519.1054688
1,5000,1000,0.005,3,random,hdf5,821.5625
1,5000,1000,0.01,3,random,hdf5,652.9257813
1,5000,1000,0.05,3,random,hdf5,618.59375
1,5000,1000,0.1,3,random,hdf5,618.59375
1,5000,1000,0.2,3,random,hdf5,618.59375
1,5000,1000,0.5,3,random,hdf5,618.5742188
1,5000,1000,0.8,3,random,hdf5,656.4570313
1,5000,1000,1,3,random,hdf5,618.609375
1,25000,1000,0.005,3,random,hdf5,988.6054688
1,25000,1000,0.01,3,random,hdf5,943.8398438
1,25000,1000,0.05,3,random,hdf5,943.8398438
1,25000,1000,0.1,3,random,hdf5,943.8320313
1,25000,1000,0.2,3,random,hdf5,944.4765625
1,25000,1000,0.5,3,random,hdf5,944.4765625
1,25000,1000,0.8,3,random,hdf5,1077.8125
1,25000,1000,1,3,random,hdf5,1230.460938
1,75000,1000,0.005,3,random,hdf5,1039.070313
1,75000,1000,0.01,3,random,hdf5,1039.074219
1,75000,1000,0.05,3,random,hdf5,1039.070313
1,75000,1000,0.1,3,random,hdf5,1041.234375
1,75000,1000,0.2,3,random,hdf5,1041.234375
1,75000,1000,0.5,3,random,hdf5,1613.464844
1,75000,1000,0.8,3,random,hdf5,2300.03125
1,75000,1000,1,3,random,hdf5,2757.890625
1,100000,1000,0.005,3,random,hdf5,1039.070313
1,100000,1000,0.01,3,random,hdf5,1039.074219
1,100000,1000,0.05,3,random,hdf5,1041.988281
1,100000,1000,0.1,3,random,hdf5,1041.996094
1,100000,1000,0.2,3,random,hdf5,1080.109375
1,100000,1000,0.5,3,random,hdf5,1995.640625
1,100000,1000,0.8,3,random,hdf5,2911.511719
1,100000,1000,1,3,random,hdf5,3521.570313
1,350000,1000,0.005,3,random,hdf5,1092.390625
1,350000,1000,0.01,3,random,hdf5,1039.109375
1,350000,1000,0.05,3,random,hdf5,1423.105469
1,350000,1000,0.1,3,random,hdf5,1804.800781
1,350000,1000,0.2,3,random,hdf5,2606.007813
1,350000,1000,0.5,3,random,hdf5,5819.222656
1,175000,1000,0.005,3,random,hdf5,1039.066406
1,175000,1000,0.01,3,random,hdf5,1039.0625
1,175000,1000,0.05,3,random,hdf5,1039.101563
1,175000,1000,0.1,3,random,hdf5,1229.941406
1,175000,1000,0.2,3,random,hdf5,1611.566406
1,175000,1000,0.5,3,random,hdf5,3140.667969
1,175000,1000,0.8,3,random,hdf5,4749.628906
1,175000,1000,1,3,random,hdf5,5811.730469
1,250000,1000,0.005,3,random,hdf5,1039.238281
1,250000,1000,0.01,3,random,hdf5,1039.109375
1,250000,1000,0.05,3,random,hdf5,1039.1875
1,250000,1000,0.1,3,random,hdf5,1326.988281
1,250000,1000,0.2,3,random,hdf5,1994.515625
1,250000,1000,0.5,3,random,hdf5,4283.949219
1,250000,1000,0.8,3,random,hdf5,6576.667969
1,250000,1000,1,3,random,hdf5,8100.964844
1,500000,1000,0.005,3,random,hdf5,1115.390625
1,500000,1000,0.01,3,random,hdf5,1042.707031
1,500000,1000,0.05,3,random,hdf5,1424.402344
1,500000,1000,0.1,3,random,hdf5,1993.476563
1,500000,1000,0.2,3,random,hdf5,3522.550781
1,500000,1000,0.5,3,random,hdf5,8103.527344
